sphinx3        
num 0	0	39699	9390739	494895	239704	37606	
num 0	1	    0	    0	    0	    0	    0	
num 0	2	    0	    0	    0	    0	    0	
num 0	3	    3	  669	   38	   37	   24	
num 0	4	   20	 4767	  138	  121	   94	
num 0	5	   85	20184	  590	  518	  468	
num 0	6	   25	 4781	  816	  486	  317	
num 0	7	  124	24762	 3081	 1916	 1985	
num 0	8	88896	16612290	2696671	1870692	1577723	
num 0	9	    0	    0	    0	    0	    0	
num 0	10	    0	    0	    0	    0	    0	
num 0	11	    0	    0	    0	    0	    0	
num 0	12	    0	    0	    0	    0	    0	
num 0	13	    1	  173	   32	   32	   19	
num 0	14	   47	 4897	 3382	 2271	 1482	
num 0	15	 9758	972117	677931	454610	393390	
num 0	16	5311168	513965873	368010062	255230726	222452347	
num 1	0	 1961	447120	29949	19575	 5372	
num 1	1	    1	  220	   21	    8	    7	
num 1	2	    6	 1285	  112	   98	   41	
num 1	3	    7	 1622	   85	   66	   19	
num 1	4	   65	15085	  625	  557	  373	
num 1	5	   53	 9988	 1901	 1039	  640	
num 1	6	  284	52346	 9936	 6687	 3735	
num 1	7	17014	3102792	563904	405051	283837	
num 1	8	   11	 1723	  557	  420	  116	
num 1	9	    0	    0	    0	    0	    0	
num 1	10	    2	  277	  110	   94	   31	
num 1	11	    3	  430	  182	  105	   51	
num 1	12	    7	 1102	  327	  235	  128	
num 1	13	  100	10695	 7241	 5293	 2371	
num 1	14	 7107	690426	519126	354020	255820	
num 1	15	1836157	178297877	126997251	88241175	76519889	
num 2	0	 2606	570896	51915	32122	12203	
num 2	1	   45	 9168	 1179	  813	  360	
num 2	2	   30	 6051	  774	  599	  256	
num 2	3	   73	15252	 1645	 1319	  472	
num 2	4	  112	21662	 3492	 2367	 1151	
num 2	5	  457	84958	15901	10068	 6065	
num 2	6	24599	4475632	814988	615884	390840	
num 2	7	  326	54493	13162	10238	 5563	
num 2	8	   26	 3788	 1503	  928	  437	
num 2	9	    2	  298	   95	   95	   24	
num 2	10	   28	 4420	 1334	  835	  579	
num 2	11	   63	10438	 2628	 1814	 1248	
num 2	12	  304	38515	18991	12789	 7529	
num 2	13	 7112	671628	551552	385174	212318	
num 2	14	481453	45862817	34302096	24640050	18447005	
num 3	0	 5506	1185897	110685	83839	29115	
num 3	1	  118	23851	 3128	 2526	  703	
num 3	2	  148	28881	 4383	 3390	 1234	
num 3	3	  370	68972	12588	 9471	 3689	
num 3	4	 1154	214165	39634	27878	13747	
num 3	5	 5260	946699	181845	138389	79627	
num 3	6	 1115	185868	45588	36767	17217	
num 3	7	  172	27363	 7578	 6051	 3040	
num 3	8	  250	34828	13810	11211	 4151	
num 3	9	   72	12148	 2933	 2018	 1333	
num 3	10	  145	22789	 6796	 4784	 2751	
num 3	11	  783	109516	43076	30935	16921	
num 3	12	 9066	878837	695857	493644	252558	
num 3	13	233865	21263957	17728101	13512779	7364603	
num 4	0	13999	2922696	328899	251098	81051	
num 4	1	  291	56683	 8672	 7045	 2096	
num 4	2	  586	109617	20000	14968	 5431	
num 4	3	 1702	315466	57339	43852	19055	
num 4	4	 8685	1542573	307798	258101	114888	
num 4	5	 2571	428389	105803	87559	36425	
num 4	6	  855	137255	38226	30321	13078	
num 4	7	  663	93006	36873	28768	11081	
num 4	8	  862	115658	51353	37559	16102	
num 4	9	  356	55127	16726	12251	 7032	
num 4	10	  970	138887	52281	36827	20325	
num 4	11	10264	1022904	777648	546066	280966	
num 4	12	208316	18672168	16087040	12432039	6137649	
num 5	0	18028	3677530	453147	365201	119290	
num 5	1	  801	149317	27309	21698	 6732	
num 5	2	 1464	264588	54462	40596	15138	
num 5	3	 6169	1064167	243556	195427	76114	
num 5	4	16045	2675779	665279	558161	208301	
num 5	5	 1450	230214	65748	54271	20967	
num 5	6	 1195	173104	62727	50446	19643	
num 5	7	 2143	295862	118304	96995	37447	
num 5	8	 2505	335919	144747	114201	46413	
num 5	9	 1240	182880	62285	47068	25207	
num 5	10	 9008	943180	654810	469240	238818	
num 5	11	166590	14961150	12871083	9963790	4851017	
